"","mu_ 0","mu_ 1","mu_ 2","mu_ 3","mu_ 4","mu_ 5","mu_ 6","mu_ 7","sig_ 0","sig_ 1","sig_ 2","sig_ 3","sig_ 4","sig_ 5","sig_ 6","sig_ 7","nlml","id"
"9463",25,25,25,28.794,22.765,25,25,25,3.1168,3.1168,3.1168,0.14151,0.14151,3.1168,3.1168,3.1168,5.1115,37
"9464",25,25,25,28.797,22.763,25,11.475,25,8.2142,8.2142,8.2142,0.14135,0.14135,8.2142,0.14135,8.2142,10.574,37
"9465",25,25,25,28.797,22.762,25,11.474,6.325,11.739,11.739,11.739,0.14136,0.14136,11.739,0.14136,0.14136,15.527,37
"9466",46.136,25,25,28.797,22.762,25,11.473,6.3246,0.14136,14.128,14.128,0.14136,0.14136,14.128,0.14136,0.14136,20.335,37
"9467",46.182,25,25,28.798,22.762,25,11.473,6.3241,0.078378,14.142,14.142,0.090503,0.090503,14.142,0.090503,0.090503,19.357,37
"9468",46.124,25,25,28.797,22.762,25,11.473,6.3248,0.12731,14.124,14.124,0.15592,0.15592,14.124,0.15592,0.15592,19.311,37
"9469",46.036,25,25,28.797,22.763,25,11.475,6.3273,0.21864,14.099,14.099,0.27655,0.27655,14.099,0.27655,0.27655,20.379,37
"9470",45.966,25,25,28.797,22.763,25,11.476,6.3287,0.25223,14.078,14.078,0.32561,0.32561,14.078,0.32561,0.32561,20.924,37
"9471",25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,37
"9472",25.877,30.591,35.364,30.591,25.877,25.04,25.001,25,10.328,8.7284,0.14002,8.7284,10.328,10.365,10.365,10.365,3.7574,37
"9473",25.849,30.409,35.028,30.409,25.849,25.039,25.001,25,10.008,8.4627,0.56649,8.4627,10.008,10.044,10.044,10.044,4.72,37
"9474",25.871,30.552,35.293,30.552,25.871,25.04,25.001,25,10.277,8.6916,0.65085,8.6916,10.277,10.314,10.314,10.314,5.9922,37
"9475",25.871,30.547,35.283,30.547,25.871,25.04,25.001,25,10.259,8.6741,0.5157,8.6741,10.259,10.296,10.296,10.296,6.3786,37
"9476",25.865,30.51,35.214,30.51,25.865,25.039,25.001,25,10.188,8.6136,0.47029,8.6136,10.188,10.225,10.225,10.225,6.8414,37
"9477",25.864,30.505,35.205,30.505,25.864,25.039,25.001,25,10.177,8.6033,0.41563,8.6033,10.177,10.214,10.214,10.214,6.9576,37
"9478",25.869,30.534,35.259,30.534,25.869,25.04,25.001,25,10.23,8.6481,0.4049,8.6481,10.23,10.267,10.267,10.267,7.4087,37
"9479",25.872,30.554,35.296,30.554,25.872,25.04,25.001,25,10.266,8.6781,0.38747,8.6781,10.266,10.303,10.303,10.303,7.6742,37
"9480",25.872,30.554,35.296,30.554,25.872,25.04,25.001,25,10.265,8.6771,0.3602,8.6771,10.265,10.302,10.302,10.302,7.6109,37
"9481",25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,37
"9482",24.277,20.393,16.458,20.393,24.277,24.967,25,25,8.5121,7.1938,0.14197,7.1938,8.5121,8.5427,8.5428,8.5428,3.564,37
"9483",25,24.972,16.459,24.985,28.825,25.012,25,25,6.6188,6.6188,0.14198,6.6188,0.14198,6.6188,6.6188,6.6188,6.6177,37
"9484",11.178,12.526,16.457,22.349,28.826,34.283,37.528,38.199,2.4544,0.71905,0.00081554,0.00081554,0.00081554,0.71905,2.4544,4.9476,8.5145,37
"9485",4.8103,10.73,16.457,22.349,28.826,36,43.453,50.296,0.00081555,0.081526,0.00081555,0.00081555,0.00081555,0.36365,1.5444,3.8465,12.481,37
"9486",4.8103,10.613,16.457,22.349,28.826,36.268,44.268,51.557,0.00081558,0.00081557,0.00081557,0.00081557,0.00081558,0.21809,1.0886,3.0186,11.663,37
"9487",4.8103,10.613,16.457,22.349,28.826,33.904,34.649,31.107,0.00081581,0.00081581,0.00081581,0.00081581,0.00081581,0.00081581,0.71977,3.0141,14.297,37
"9488",4.8103,10.613,16.457,22.349,28.826,33.909,34.668,31.14,0.0094835,0.009482,0.0094792,0.0094792,0.009482,0.008213,0.72247,3.016,11.054,37
"9489",4.8536,10.499,16.491,22.583,28.524,34.077,39.03,43.212,0.32554,0.2817,0.28242,0.28329,0.27611,0.27491,0.4871,1.047,12.271,37
"9490",4.852,10.502,16.489,22.578,28.533,34.125,39.151,43.444,0.31193,0.26982,0.27048,0.27144,0.26368,0.25582,0.44826,0.97841,12.139,37
"9491",25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,37
"9492",25.021,25.465,27.964,30.495,27.964,25.465,25.021,25,5.4966,5.4769,4.6291,0.14188,4.6291,5.4769,5.4966,5.4967,3.1231,37
"9493",25.022,25.485,28.088,30.725,28.088,25.485,25.022,25,5.7399,5.7195,4.8384,0.4127,4.8384,5.7195,5.7399,5.74,3.8436,37
"9494",25.022,25.48,28.057,30.668,28.057,25.48,25.022,25,5.6763,5.656,4.7825,0.30245,4.7825,5.656,5.6763,5.6763,3.8625,37
"9495",25.022,25.472,28.006,30.573,28.006,25.472,25.022,25,5.5821,5.5621,4.7036,0.32085,4.7036,5.5621,5.5821,5.5821,4.3427,37
"9496",25.021,25.47,27.997,30.556,27.997,25.47,25.021,25,5.5628,5.5429,4.6865,0.27593,4.6865,5.5429,5.5628,5.5628,4.0998,37
"9497",25.021,25.469,27.989,30.541,27.989,25.469,25.021,25,5.5466,5.5267,4.6724,0.24682,4.6724,5.5267,5.5466,5.5466,3.7413,37
"9498",25.021,25.471,27.999,30.559,27.999,25.471,25.021,25,5.5641,5.5442,4.6869,0.22869,4.6869,5.5442,5.5641,5.5641,3.3683,37
"9499",25.021,25.466,27.967,30.501,27.967,25.466,25.021,25,5.5076,5.4879,4.64,0.27321,4.64,5.4879,5.5076,5.5076,4.6016,37
"9500",25.021,25.466,27.967,30.501,27.967,25.466,25.021,25,5.5065,5.4868,4.6387,0.25399,4.6387,5.4868,5.5065,5.5065,4.189,37
"9501",25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,37
"9502",24.977,24.5,21.817,19.098,21.817,24.5,24.977,25,5.9033,5.8821,4.9714,0.14182,4.9714,5.8821,5.9033,5.9033,3.1945,37
"9503",2.7573,6.2839,12.535,19.096,23.927,26.327,26.822,26.391,0.14159,3.4606,3.4606,0.14159,5.2852,10.285,13.698,15.422,8.2758,37
"9504",2.7563,7.806,13.326,19.097,24.888,30.468,35.624,40.172,0.00043095,0.037197,0.00043095,0.00043095,0.14509,0.52889,1.2218,2.2648,9.3332,37
"9505",2.7563,7.7946,13.325,19.097,24.842,30.302,35.241,39.466,0.00043095,0.0075285,0.00043095,0.00043095,0.0075285,0.00043095,0.064094,0.23887,9.6044,37
"9506",2.7536,7.8359,13.344,19.079,24.832,30.396,35.576,40.203,0.14391,0.14304,0.13129,0.13128,0.13998,0.12497,0.3161,0.80548,9.9005,37
"9507",2.7537,7.8587,13.36,19.063,24.766,30.268,35.384,39.952,0.28134,0.25502,0.24978,0.24969,0.24473,0.23084,0.43294,0.9883,11.217,37
"9508",2.7534,7.8517,13.356,19.066,24.771,30.264,35.353,39.872,0.24384,0.22503,0.21756,0.2175,0.21541,0.19372,0.39595,0.95415,10.598,37
"9509",2.7543,7.866,13.366,19.056,24.728,30.18,35.224,39.699,0.32325,0.29001,0.28611,0.28596,0.2753,0.25187,0.4526,1.0276,11.783,37
"9510",2.754,7.8615,13.364,19.057,24.725,30.159,35.167,39.584,0.30223,0.27342,0.26812,0.268,0.25937,0.23217,0.43631,1.0214,11.417,37
"9511",25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,37
"9512",24.507,21.857,19.173,21.857,24.507,24.977,25,25,5.8076,4.9084,0.14183,4.9084,5.8076,5.8284,5.8285,5.8285,3.1817,37
"9513",8.8473,13.008,19.171,24.12,26.346,26.488,25.889,25.373,0.14185,1.9102,0.14185,4.3648,8.5343,10.977,11.893,12.109,7.5696,37
"9514",8.8458,13.972,19.172,24.318,29.288,33.969,38.259,42.074,9.0195e-05,0.040227,9.0196e-05,0.060585,0.080211,9.0196e-05,0.233,0.66276,10.604,37
"9515",8.846,13.971,19.172,24.322,29.3,33.991,38.294,42.123,9.0196e-05,0.040227,9.0193e-05,0.060585,0.080211,7.8109e-05,0.233,0.66276,121940,37
"9516",8.8461,13.962,19.172,24.35,29.373,34.126,38.504,42.419,9.0193e-05,0.040227,9.0193e-05,0.060585,0.080211,7.3642e-05,0.233,0.66276,13517000,37
"9517",8.8458,13.971,19.171,24.321,29.296,33.984,38.283,42.107,9.0197e-05,0.040227,9.0193e-05,0.060585,0.080211,7.1303e-05,0.233,0.66276,43300000,37
