,mu_0,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,std_0,std_1,std_2,std_3,std_4,std_5,std_6,std_7,nmll,round,trial,id
17267,28.177,31.355,34.532,37.71,40.887,44.065,47.242,50.42,0.20236,0.20376,0.20606,0.20924,0.21326,0.21807,0.22362,0.22986,7.7495,17,7,58
17268,28.185,31.37,34.556,37.741,40.926,44.111,47.296,50.481,0.22201,0.22332,0.22549,0.2285,0.2323,0.23687,0.24216,0.24811,8.2281,17,8,58
17269,28.191,31.382,34.572,37.763,40.954,44.145,47.336,50.526,0.22617,0.22734,0.22928,0.23196,0.23537,0.23947,0.24423,0.2496,8.3563,17,9,58
17270,28.191,31.383,34.574,37.766,40.957,44.149,47.34,50.532,0.21175,0.21273,0.21434,0.21659,0.21943,0.22286,0.22685,0.23137,7.8228,17,10,58
17271,25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,18,1,58
17272,24.609,24.218,23.827,23.435,23.044,22.653,22.262,21.871,0.000082455,0.000085733,0.000090934,0.000097751,0.00010587,0.00011502,0.00012498,0.00013556,2.7872,18,2,58
17273,25.205,25.41,25.614,25.819,26.024,26.229,26.434,26.639,0.000082425,0.000085617,0.000090687,0.000097343,0.00010528,0.00011424,0.000124,0.00013438,35763000000,18,3,58
17274,25.958,26.917,27.875,28.833,29.791,30.75,31.708,32.666,0.000082319,0.000085208,0.000089817,0.000095899,0.00010319,0.00011146,0.0001205,0.00013016,52035000000,18,4,58
17275,26.587,28.174,29.761,31.348,32.935,34.521,36.108,37.695,0.000082232,0.000084871,0.000089096,0.000094695,0.00010144,0.00010912,0.00011755,0.00012658,65813000000,18,5,58
17276,27.115,29.23,31.346,33.461,35.576,37.691,39.806,41.922,0.000082159,0.000084588,0.000088488,0.000093676,0.000099951,0.00010712,0.00011502,0.00012351,77442000000,18,6,58
17277,27.559,30.119,32.678,35.237,37.797,40.356,42.915,45.475,0.000082097,0.000084346,0.000087968,0.000092801,0.000098668,0.0001054,0.00011283,0.00012084,87122000000,18,7,58
17278,27.931,30.862,33.793,36.723,39.654,42.585,45.516,48.447,0.000082043,0.000084139,0.000087519,0.000092043,0.000097552,0.00010389,0.00011091,0.0001185,95001000000,18,8,58
17279,28.269,31.538,34.807,38.076,41.345,44.614,47.884,51.153,0.000081997,0.000083957,0.000087127,0.000091379,0.000096572,0.00010256,0.00010922,0.00011643,102520000000,18,9,58
17280,28.565,32.13,35.695,39.26,42.825,46.389,49.954,53.519,0.000081956,0.000083798,0.000086781,0.000090793,0.000095704,0.00010138,0.00010771,0.00011458,109070000000,18,10,58
17281,25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,19,1,58
17282,25.52,26.04,26.56,27.079,27.599,28.119,28.639,29.159,3.3956,3.704,4.1675,4.7409,5.3893,6.0886,6.8233,7.5831,2.7663,19,2,58
17283,25.184,25.367,25.551,25.735,25.919,26.102,26.286,26.47,10.94,11.07,11.285,11.579,11.946,12.38,12.874,13.421,7.6319,19,3,58
17284,25.45,25.9,26.351,26.801,27.251,27.701,28.151,28.601,10.099,10.229,10.442,10.732,11.094,11.521,12.007,12.543,11.287,19,4,58
17285,24.913,24.826,24.74,24.653,24.566,24.479,24.392,24.305,12.794,12.893,13.056,13.28,13.563,13.901,14.291,14.727,15.872,19,5,58
17286,24.951,24.901,24.852,24.803,24.754,24.704,24.655,24.606,11.636,11.738,11.907,12.139,12.432,12.78,13.18,13.627,19.363,19,6,58
17287,25.036,25.072,25.108,25.145,25.181,25.217,25.253,25.289,12.274,12.373,12.535,12.76,13.042,13.38,13.768,14.203,23.553,19,7,58
17288,25.109,25.218,25.327,25.436,25.545,25.654,25.762,25.871,12.593,12.689,12.849,13.069,13.346,13.678,14.059,14.487,27.662,19,8,58
17289,25.177,25.355,25.532,25.71,25.887,26.065,26.242,26.42,12.81,12.905,13.062,13.279,13.552,13.879,14.256,14.678,31.759,19,9,58
17290,25.244,25.488,25.733,25.977,26.221,26.465,26.709,26.953,13.04,13.133,13.288,13.501,13.771,14.093,14.465,14.882,35.9,19,10,58
17291,25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,20,1,58
