mu0,mu1,mu2,mu3,mu4,mu5,mu6,mu7,sigma0,sigma1,sigma2,sigma3,sigma4,sigma5,sigma6,sigma7,nlml,id
25,22.46,43.081,38.499,18.111,25,25,25,11.876,0.54016,0.44114,0.54016,0.54016,11.876,11.876,11.876,17.036,1
25,22.459,43.126,38.503,18.109,25,25,25,11.891,0.45657,0.36101,0.45657,0.45657,11.891,11.891,11.891,17.137,1
25,22.46,42.982,38.496,18.113,25,25,25,11.839,0.60051,0.46529,0.60051,0.60051,11.839,11.839,11.839,18.616,1
25,22.46,42.966,38.499,18.111,25,25,25,11.832,0.54053,0.41294,0.54053,0.54053,11.832,11.832,11.832,18.741,1
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
31.943,37.872,31.943,26.09,25.05,25.001,25,25,10.84,0.14213,10.84,12.827,12.873,12.873,12.873,12.873,3.9741,1
39.072,37.871,35.483,32.398,29.237,26.555,24.682,23.674,1.4895,0.14211,0.55604,0.14211,1.4895,3.5222,5.6541,7.5004,6.8543,1
31.155,31.157,31.158,31.159,31.158,31.156,31.153,31.149,6.0889,6.088,6.0882,6.0894,6.0917,6.0951,6.0995,6.105,10.181,1
32.079,33.397,34.572,35.522,36.175,36.489,36.448,36.065,7.4497,7.1914,7.1024,7.1914,7.4497,7.853,8.3637,8.9366,14.512,1
31.054,33.565,36.002,38.134,39.751,40.701,40.912,40.405,6.5546,6.1797,5.9975,5.9843,6.195,6.7142,7.556,8.6264,17.77,1
30.596,33.471,36.338,38.936,41.019,42.397,42.963,42.703,5.7846,5.4127,5.2155,5.1303,5.2475,5.7444,6.6941,7.9812,20.581,1
30.314,33.383,36.489,39.369,41.767,43.475,44.359,44.38,5.2595,4.9017,4.7081,4.586,4.6413,5.1121,6.1161,7.5263,23.236,1
30.143,33.298,36.516,39.543,42.129,44.063,45.199,45.476,4.8241,4.4843,4.3003,4.1606,4.1756,4.6176,5.635,7.0983,25.695,1
30.011,33.232,36.538,39.685,42.429,44.559,45.92,46.434,4.4975,4.1729,3.999,3.8499,3.8374,4.2585,5.2845,6.7843,28.08,1
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
25.443,27.822,30.231,27.822,25.443,25.02,25,25,5.2143,4.4072,0.14098,4.4072,5.2143,5.2331,5.2331,5.2331,3.0739,1
26.486,28.223,30.234,32.291,34.122,35.471,36.155,36.107,2.3987,1.0621,0.14124,0.59111,0.59111,0.14124,1.0621,2.3987,6.5552,1
26.7,28.453,30.5,32.714,34.93,36.964,38.637,39.804,4.8779,4.0602,3.5478,3.2823,3.1469,3.1124,3.2978,3.8545,10.067,1
21.08,24.402,28.052,31.652,34.83,37.285,38.827,39.401,4.1631,3.8937,3.9166,3.955,3.8811,3.795,3.9978,4.7454,13.706,1
20.704,24.235,27.975,31.673,35.084,37.992,40.235,41.717,3.3866,3.1378,3.1474,3.1675,3.0789,2.9418,3.0067,3.5716,16.155,1
20.515,24.161,27.938,31.65,35.107,38.143,40.624,42.463,2.8599,2.6355,2.6465,2.6642,2.5775,2.4276,2.4316,2.8899,18.142,1
18.894,25,30.228,25,25,35.464,41.304,8.4054,0.50511,11.971,0.50511,11.971,11.971,0.50511,0.41249,0.50511,20.835,1
18.893,25,30.229,25,25,35.465,41.23,8.4032,0.4651,11.95,0.4651,11.95,11.95,0.4651,0.36776,0.4651,21.112,1
18.894,25,30.229,25,25,35.465,41.142,8.4046,0.48904,11.927,0.48904,11.927,11.927,0.48904,0.37888,0.48904,21.722,1
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
25.183,26.163,27.157,26.163,25.183,25.008,25,25,2.1537,1.8216,0.14137,1.8216,2.1537,2.1614,2.1614,2.1614,2.1897,1
25,25.072,27.158,25.072,24.911,22.344,24.911,25,2.4241,2.4228,0.14146,2.4228,2.4228,0.14146,2.4228,2.4241,4.6088,1
35.345,32.19,27.237,23.69,22.352,22.387,23.072,23.928,1.4044,2.0044,1.404,2.8667,3.0223,1.4066,3.731,5.7933,9.7374,1
35.488,25,27.134,8.6866,25,22.372,25,25,1.5767,9.969,1.5767,1.5767,9.969,1.5767,9.969,9.969,14.874,1
35.518,40.461,27.14,8.6401,25,22.365,25,25,1.5798,1.5798,1.5798,1.5798,11.325,1.5798,11.325,11.325,19.23,1
